Order,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Val,SalePrice,SalesPriceLog,Sale Condition_Abnorml,Sale Condition_AdjLand,Sale Condition_Alloca,Sale Condition_Family,Sale Condition_Normal,Sale Condition_Partial,Sale Type_COD,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD,NeighborhoodClass,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Railroad_Adjacent,Railroad_Near,Street_Feeder,Street_Aterial,PosFeature_Adjacent,PosFeature_Near,Street_Grvl,Street_Pave,House Style_1.5Fin,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Bldg Type_1Fam,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,HouseAge,HouseRemodelAge,HouseIsreModeled,HouseIsNew,BathroomsTotal,HouseFunctional,PorchSFTotal,Gr Liv Area2,Gr Liv Area Log,Overall Qual2,Overall Cond2,Misc Feature_Gar2,Misc Feature_NA,Misc Feature_Othr,Misc Feature_Shed,Misc Feature_TenC,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Exterior_AsbShng,Exterior_BrkComm,Exterior_BrkFace,Exterior_CBlock,Exterior_CemntBd,Exterior_HdBoard,Exterior_ImStucc,Exterior_MetalSd,Exterior_Plywood,Exterior_PreCast,Exterior_Stone,Exterior_Stucco,Exterior_VinylSd,Exterior_Wd Sdng,Exterior_WdShing,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Roof Style_Flat,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Garage Type_2Types,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_None,Garage Area2,GarageAge
1,20,6,141.0,31770,3,2,5,3,2,5,6,5,1960,1960,112.0,2,2,4,5,3,3,639.0,1,0.0,441.0,639.0,1,1,4,1656,0,0,1656,1.0,1.0,1,0,3,1,2,7,2,4,1960.0,3,2.0,528.0,3,3,1,210,62,0,0,0,0,0,0,0,215000,12.2783933071098,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,50,50,0,0,2.0,7,272,2742336,7.412160334945205,36,25,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,278784.0,50
2,20,4,80.0,11622,3,5,5,3,3,5,5,6,1961,1961,0.0,2,2,4,4,0,2,468.0,2,144.0,270.0,612.0,2,1,4,896,0,0,896,0.0,0.0,1,0,2,1,2,5,0,0,1961.0,1,1.0,730.0,3,3,2,140,0,0,0,120,0,0,2,0,105000,11.56171562913966,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,49,49,0,0,1.0,7,260,802816,6.79794041297493,25,36,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,532900.0,49
3,20,6,81.0,14267,3,2,5,3,2,5,6,6,1958,1958,108.0,2,2,4,4,0,4,923.0,1,0.0,406.0,923.0,2,1,4,1329,0,0,1329,0.0,0.0,1,1,3,1,3,6,0,0,1958.0,1,1.0,312.0,3,3,2,393,36,0,0,0,0,0,0,12500,172000,12.05524975579559,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,52,52,0,0,1.5,7,429,1766241,7.192182058713246,36,36,1,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,97344.0,52
4,20,6,93.0,11160,3,5,5,3,2,5,7,5,1968,1968,0.0,3,2,4,4,0,4,1065.0,1,0.0,1045.0,1065.0,4,1,4,2110,0,0,2110,1.0,1.0,2,1,3,1,4,8,2,3,1968.0,3,2.0,522.0,3,3,2,0,0,0,0,0,0,0,0,0,244000,12.404923504275338,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,42,42,0,0,3.5,7,0,4452100,7.6544432264701125,49,25,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,272484.0,42
5,60,6,74.0,13830,3,2,5,3,3,5,5,5,1997,1998,0.0,2,2,5,4,0,5,791.0,1,0.0,137.0,791.0,3,1,4,928,701,0,1629,0.0,0.0,2,1,3,1,2,6,1,3,1997.0,3,2.0,482.0,3,3,2,212,34,0,0,0,0,0,2,0,189900,12.154252896800378,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,13,12,1,0,2.5,7,246,2653641,7.395721608602045,25,25,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,232324.0,13
6,60,6,78.0,9978,3,2,5,3,3,5,6,6,1998,1998,20.0,2,2,4,4,0,5,602.0,1,0.0,324.0,602.0,4,1,4,926,678,0,1604,0.0,0.0,2,1,3,1,3,7,1,4,1998.0,3,2.0,470.0,3,3,2,360,36,0,0,0,0,0,0,0,195500,12.183315658407558,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,12,12,0,0,2.5,7,396,2572816,7.38025578842646,36,36,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,220900.0,12
7,120,6,41.0,4920,3,5,5,3,3,5,8,5,2001,2001,0.0,3,2,5,4,1,5,616.0,1,0.0,722.0,616.0,4,1,4,1338,0,0,1338,1.0,1.0,2,0,2,1,3,6,0,0,2001.0,3,2.0,582.0,3,3,2,0,0,170,0,0,0,0,0,0,213500,12.271392111650817,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,9,9,0,0,3.0,7,170,1790244,7.198931240688173,64,25,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,338724.0,9
8,120,6,43.0,5005,3,2,1,3,3,5,8,5,1992,1992,0.0,3,2,5,4,0,4,263.0,1,0.0,1017.0,263.0,4,1,4,1280,0,0,1280,0.0,0.0,2,0,2,1,3,5,0,0,1992.0,2,2.0,506.0,3,3,2,0,82,0,0,144,0,0,0,0,191500,12.162643087602838,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,18,18,0,0,2.0,7,226,1638400,7.154615356913663,64,25,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,256036.0,18
9,120,6,39.0,5389,3,2,5,3,3,5,8,5,1995,1996,0.0,3,2,5,4,0,5,1180.0,1,0.0,415.0,1180.0,4,1,4,1616,0,0,1616,1.0,1.0,2,0,2,1,3,5,1,3,1995.0,2,2.0,608.0,3,3,2,237,152,0,0,0,0,0,0,0,236500,12.373703486914124,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15,14,1,0,3.0,7,389,2611456,7.38770923908104,64,25,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,369664.0,15
10,60,6,60.0,7500,3,5,5,3,3,5,7,5,1999,1999,0.0,2,2,4,4,0,1,0.0,1,0.0,994.0,0.0,3,1,4,1028,776,0,1804,0.0,0.0,2,1,3,1,3,7,1,3,1999.0,3,2.0,442.0,3,3,2,140,60,0,0,0,0,0,0,0,189000,12.14950229404178,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,11,11,0,0,2.5,7,200,3254416,7.4977617006225685,49,25,0,1,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,195364.0,11
